"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\Graduation Thesis\dark\policy-llm\src\App.vue", "Vue", 27, 0, 0, 0, 0, 0, 3, 30
"d:\Graduation Thesis\dark\policy-llm\src\api\getData.js", "JavaScript", 0, 17, 0, 0, 0, 2, 3, 22
"d:\Graduation Thesis\dark\policy-llm\src\api\index.js", "JavaScript", 0, 60, 0, 0, 0, 15, 9, 84
"d:\Graduation Thesis\dark\policy-llm\src\api\path.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 24
"d:\Graduation Thesis\dark\policy-llm\src\assets\font\demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"d:\Graduation Thesis\dark\policy-llm\src\assets\font\demo_index.html", "HTML", 0, 0, 0, 0, 351, 2, 43, 396
"d:\Graduation Thesis\dark\policy-llm\src\assets\font\iconfont.css", "CSS", 0, 0, 40, 0, 0, 0, 12, 52
"d:\Graduation Thesis\dark\policy-llm\src\assets\font\iconfont.js", "JavaScript", 0, 68, 0, 0, 0, 0, 1, 69
"d:\Graduation Thesis\dark\policy-llm\src\assets\font\iconfont.json", "JSON", 0, 0, 0, 72, 0, 0, 1, 73
"d:\Graduation Thesis\dark\policy-llm\src\components\ChangPassword.vue", "Vue", 226, 0, 0, 0, 0, 0, 7, 233
"d:\Graduation Thesis\dark\policy-llm\src\components\Emoji.vue", "Vue", 151, 0, 0, 0, 0, 3, 4, 158
"d:\Graduation Thesis\dark\policy-llm\src\components\FileCard.vue", "Vue", 84, 0, 0, 0, 0, 1, 3, 88
"d:\Graduation Thesis\dark\policy-llm\src\components\HeadPortrait.vue", "Vue", 32, 0, 0, 0, 0, 1, 3, 36
"d:\Graduation Thesis\dark\policy-llm\src\components\HelloWorld.vue", "Vue", 127, 0, 0, 0, 0, 0, 3, 130
"d:\Graduation Thesis\dark\policy-llm\src\components\Nav.vue", "Vue", 299, 0, 0, 0, 0, 2, 22, 323
"d:\Graduation Thesis\dark\policy-llm\src\components\PersonCard.vue", "Vue", 236, 0, 0, 0, 0, 2, 3, 241
"d:\Graduation Thesis\dark\policy-llm\src\components\login\LoginForm.vue", "Vue", 183, 0, 0, 0, 0, 2, 7, 192
"d:\Graduation Thesis\dark\policy-llm\src\components\login\RegisterForm.vue", "Vue", 220, 0, 0, 0, 0, 2, 7, 229
"d:\Graduation Thesis\dark\policy-llm\src\main.js", "JavaScript", 0, 39, 0, 0, 0, 1, 8, 48
"d:\Graduation Thesis\dark\policy-llm\src\mock\index.js", "JavaScript", 0, 0, 0, 0, 0, 275, 13, 288
"d:\Graduation Thesis\dark\policy-llm\src\registerServiceWorker.js", "JavaScript", 0, 31, 0, 0, 0, 1, 3, 35
"d:\Graduation Thesis\dark\policy-llm\src\router\index.js", "JavaScript", 0, 55, 0, 0, 0, 14, 7, 76
"d:\Graduation Thesis\dark\policy-llm\src\store\index.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"d:\Graduation Thesis\dark\policy-llm\src\util\requests.js", "JavaScript", 0, 31, 0, 0, 0, 1, 5, 37
"d:\Graduation Thesis\dark\policy-llm\src\util\util.js", "JavaScript", 0, 160, 0, 0, 0, 32, 16, 208
"d:\Graduation Thesis\dark\policy-llm\src\utils\gogocodeTransfer.js", "JavaScript", 0, 56, 0, 0, 0, 3, 1, 60
"d:\Graduation Thesis\dark\policy-llm\src\views\AboutView.vue", "Vue", 5, 0, 0, 0, 0, 0, 1, 6
"d:\Graduation Thesis\dark\policy-llm\src\views\HomeView.vue", "Vue", 15, 0, 0, 0, 0, 1, 3, 19
"d:\Graduation Thesis\dark\policy-llm\src\views\chat\ChatView.vue", "Vue", 8, 0, 0, 0, 0, 0, 2, 10
"d:\Graduation Thesis\dark\policy-llm\src\views\home.vue", "Vue", 46, 0, 0, 0, 0, 0, 3, 49
"d:\Graduation Thesis\dark\policy-llm\src\views\login\LoginView.vue", "Vue", 90, 0, 0, 0, 0, 0, 6, 96
"d:\Graduation Thesis\dark\policy-llm\src\views\pages\chatHome\chatwindow.vue", "Vue", 517, 0, 0, 0, 0, 41, 9, 567
"d:\Graduation Thesis\dark\policy-llm\src\views\pages\chatHome\index.vue", "Vue", 213, 0, 0, 0, 0, 5, 9, 227
"d:\Graduation Thesis\dark\policy-llm\src\views\pages\lingting.vue", "Vue", 4, 0, 0, 0, 0, 0, 2, 6
"d:\Graduation Thesis\dark\policy-llm\src\views\pages\setting.vue", "Vue", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Graduation Thesis\dark\policy-llm\src\views\pages\video.vue", "Vue", 6, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 2495, 570, 475, 72, 351, 425, 314, 4702